Time,L_S,A,B,C,D,E
49806.541666635436,447.62126699269186,10.965925877080442,14.59255163977155,849.0476798211567,847.5689999843589,856.2762038370553
49806.5833333021,447.6400762374517,10.86602550190122,13.936240337943097,863.3776185563217,858.0623708447404,866.7307385361435
49806.624999968764,447.65888548221153,10.707106919979243,13.052712383437013,877.5661853470083,868.1180877252907,876.7476192554005
49806.66666663543,447.6776947269714,10.500000169977616,11.989526639047057,886.2120219594035,874.3689442874366,882.9596396562531
49806.70833330209,447.69650397173126,10.258819234735189,10.80715367451844,886.4475574039338,875.2459246669067,883.7977838744299
49806.74999996876,447.7153132164911,10.000000196312916,9.575059694747706,880.5714425496096,872.6899979051344,881.2030209513642
49806.79166663542,447.734122461251,9.741181144568465,8.36716249212269,874.2567146705293,870.7295604082468,879.2037472931834
49806.833333302086,447.7529317060108,9.500000170046327,7.256965834248805,871.9342105504546,871.9769449866724,880.4122957103156
49806.87499996875,447.77174095077066,9.292893357649145,6.312700939551201,873.5566985663105,875.2575248871069,883.6540394494568
49806.916666635414,447.79055019553056,9.133974694411695,5.592803557042285,875.5035688795577,876.6714640527599,885.0291424538165
49806.95833330208,447.8093594402904,9.034074224538601,5.14203271150621,874.3823575420787,873.1753611850478,881.4942034248111
49806.99999996874,447.8281686850503,9.00000000000002,4.988493886907783,869.8769642371551,865.3500883524694,873.6300944309393
49807.04166663541,447.84605661908165,9.034074122873035,5.141768253674231,864.0634170884806,856.8472099743371,865.0679661901949
49807.08333330207,447.8639445524219,9.133974498008905,5.592274670154951,858.3486788378342,850.8178907380315,858.9793970759629
49807.124999968735,447.8818324857622,9.292893079893656,6.311907679318353,851.5632772765872,847.2461386225089,855.3483950825141
49807.1666666354,447.89972041910244,9.499999829866717,7.255908279544748,841.3880781576642,843.3966844782552,851.4396910603342
49807.208333302064,447.9176083524427,9.741180765091187,8.365840739582415,827.6679028466417,836.9055279632425,844.8892846673953
49807.24999996873,447.93549628578296,9.999999803507334,9.573473853416166,814.0215780980444,828.4176900547252,836.3421968809517
49807.29166663539,447.9533842191232,10.25881885525791,10.805303856899094,805.7439089018101,821.2567785307688,829.122035479069
49807.33333330206,447.9712721524634,10.499999829798005,11.987412955848981,805.7466205513247,818.5845023870314,826.3905094574054
49807.37499996872,447.9891600858037,10.707106642223753,13.05033493454863,812.3942519305907,820.8989980573764,828.6457552498242
49807.416666635385,448.00704801914395,10.86602530549843,13.933599207097402,821.3546207308938,826.2059012275633,833.8934085420849
49807.45833330205,448.0249359524842,10.965925775414878,14.58964688900896,829.6650639127039,832.4041134248869,840.0323708614821
49807.49999996871,448.0428238858245,10.99999999999998,14.986855519906097,838.0196121908507,839.2400905077221,846.8090980663911
49807.54166663538,448.06071181916474,10.965925877173488,15.111470013045025,849.0476798034266,847.7955553851522,855.305313065895
49807.58333330204,448.078599752505,10.866025502110073,14.968312070413711,863.3776185353365,858.1900845433078,865.6405923461243
49807.624999968706,448.09648768584526,10.707106920233446,14.580223621279268,877.5661853301783,868.1582236982223,875.5494816231127
49807.66666663537,448.1143756191855,10.500000170288951,13.986286112516687,886.2120219532153,874.3215319957196,881.6535400426837
49807.708333302035,448.1322635525258,10.258819235082438,13.23894083722049,886.4475574089018,875.1391116401377,882.4118698091755
49807.7499999687,448.150151485866,10.000000196672415,12.4002102471778,880.5714425593591,872.5939222740715,879.8074305651832
49807.79166663536,448.16803941920625,9.741181144915716,11.537281269065508,874.2567146770236,870.7051524417659,877.8594108549513
49807.83333330203,448.1859273525465,9.500000170357664,10.717754859845368,871.9342105505184,872.0247921420397,879.1198006772988
49807.87499996869,448.2038152858868,9.29289335790335,10.004888480509884,873.5566985620227,875.3516500258635,882.3874086831964
49807.916666635356,448.22170321922704,9.133974694591444,9.453158278617241,875.503568878305,876.8582733132135,883.8347820926202
